fold,balanced_accuracy,accuracy,macro_auc,macro_f1,cohen_kappa,n_train,n_test,DN_f1,DN_auc,MIA_f1,MIA_auc,Minsitu_f1,Minsitu_auc
0,0.6111111111111112,0.625,0.7611111111111111,0.6105820105820107,0.4336283185840708,134,32,0.5555555555555556,0.7454545454545455,0.8,0.9333333333333333,0.47619047619047616,0.6045454545454545
1,0.524993524993525,0.5151515151515151,0.7150518392942636,0.4903059581320452,0.27671232876712337,133,33,0.6086956521739131,0.7685185185185185,0.64,0.8807692307692307,0.2222222222222222,0.49586776859504134
2,0.4898989898989899,0.5,0.6841787439613526,0.4776223776223776,0.24739583333333326,132,34,0.3,0.5533596837944664,0.7692307692307693,0.8825757575757575,0.36363636363636365,0.616600790513834
3,0.5511599511599512,0.5428571428571428,0.6980977752406323,0.5333333333333333,0.32367149758454106,131,35,0.56,0.7566666666666667,0.64,0.7202797202797202,0.4,0.6173469387755101
4,0.5505050505050505,0.53125,0.6367996737561955,0.5048433048433049,0.3023255813953488,134,32,0.6923076923076923,0.774891774891775,0.6,0.6521739130434783,0.2222222222222222,0.48333333333333334
